Left_X,Left_Y,Right_X,Right_Y,Norm_X,Norm_Y,Gaze_Direction
222,286,295,283,0.30303030303030304,0.43333333333333335,CENTER
226,285,299,283,0.3333333333333333,0.4375,CENTER
225,286,298,284,0.30303030303030304,0.4666666666666667,CENTER
225,286,298,284,0.30303030303030304,0.4666666666666667,CENTER
225,286,298,284,0.2727272727272727,0.4666666666666667,LEFT
226,286,299,284,0.30303030303030304,0.5,CENTER
226,285,299,283,0.30303030303030304,0.4666666666666667,CENTER
247,285,321,286,0.6666666666666666,0.6071428571428571,CENTER
250,284,323,286,0.6764705882352942,0.6153846153846154,CENTER
251,283,324,286,0.6666666666666666,0.625,CENTER
252,283,325,285,0.696969696969697,0.6153846153846154,CENTER
252,282,326,285,0.6666666666666666,0.625,CENTER
226,277,279,294,0.5217391304347826,1,BOTTOM
224,278,276,294,0.5,1,BOTTOM
225,279,277,293,0.5217391304347826,1,BOTTOM
226,280,281,294,0.5217391304347826,1,BOTTOM
227,280,283,294,0.5,1,BOTTOM
141,341,189,335,0.6470588235294118,0.07142857142857142,TOP
138,341,191,336,0.5555555555555556,0.16666666666666666,TOP
138,341,191,336,0.5555555555555556,0.16666666666666666,TOP
147,310,197,308,0.7333333333333333,0.4666666666666667,RIGHT
147,308,199,307,0.7142857142857143,0.53125,RIGHT
148,308,199,307,0.7857142857142857,0.5666666666666667,RIGHT
147,307,199,306,0.6666666666666666,0.5,CENTER
147,307,199,305,0.6428571428571429,0.4666666666666667,CENTER
145,312,189,310,0.7857142857142857,0.4666666666666667,RIGHT
145,311,190,309,0.7857142857142857,0.4,RIGHT
144,310,190,308,0.7142857142857143,0.35714285714285715,RIGHT
143,310,190,308,0.7142857142857143,0.35714285714285715,RIGHT
143,310,190,309,0.7142857142857143,0.39285714285714285,RIGHT
220,294,330,297,0.48,0.5185185185185185,CENTER
210,288,325,293,0.2692307692307692,0.46153846153846156,LEFT
238,289,353,295,0.7358490566037735,0.5454545454545454,RIGHT
231,279,340,285,0.5102040816326531,0.4583333333333333,CENTER
227,312,340,317,0.5102040816326531,0.5454545454545454,CENTER
102,338,197,277,0.30357142857142855,0.7894736842105263,BOTTOM
95,341,191,278,0.2909090909090909,0.7894736842105263,BOTTOM_LEFT
91,342,187,279,0.2962962962962963,0.7368421052631579,BOTTOM_LEFT
83,352,179,279,0.32075471698113206,0.7647058823529411,BOTTOM
83,352,178,280,0.33962264150943394,0.7058823529411765,BOTTOM
78,354,174,281,0.3076923076923077,0.7222222222222222,BOTTOM
75,357,170,283,0.3076923076923077,0.7777777777777778,BOTTOM
72,359,168,285,0.28846153846153844,0.7647058823529411,BOTTOM_LEFT
71,360,166,286,0.3269230769230769,0.7222222222222222,BOTTOM
69,361,165,287,0.3076923076923077,0.7647058823529411,BOTTOM
242,313,322,314,0.5526315789473685,0.6176470588235294,CENTER
203,323,283,322,0.5263157894736842,0.5833333333333334,CENTER
203,323,283,322,0.5263157894736842,0.5588235294117647,CENTER
203,323,283,323,0.5263157894736842,0.5555555555555556,CENTER
202,323,281,322,0.5277777777777778,0.5588235294117647,CENTER
202,323,281,322,0.5277777777777778,0.5588235294117647,CENTER
201,323,281,322,0.5135135135135135,0.5588235294117647,CENTER
201,323,281,322,0.5263157894736842,0.5588235294117647,CENTER
201,323,281,323,0.5135135135135135,0.5882352941176471,CENTER
201,323,281,323,0.5135135135135135,0.5882352941176471,CENTER
202,323,282,323,0.5263157894736842,0.5882352941176471,CENTER
202,323,282,323,0.5263157894736842,0.5882352941176471,CENTER
183,320,262,318,0.2564102564102564,0.5294117647058824,LEFT
183,320,263,319,0.2564102564102564,0.5,LEFT
183,320,262,319,0.2564102564102564,0.5,LEFT
182,321,261,319,0.25,0.5294117647058824,LEFT
183,321,262,319,0.275,0.5,LEFT
183,321,262,320,0.2564102564102564,0.5,LEFT
183,321,262,320,0.2564102564102564,0.5,LEFT
183,321,262,320,0.275,0.5,LEFT
182,321,261,320,0.2564102564102564,0.5,LEFT
